,index,x,y,rssa1,rssa2,rssa3,rssa4,rssa5,rssa6
83,83,6,7,-64.2,-61.3,-61.5,-63.0,-43.4,-58.8
84,84,7,7,-64.7,-62.25,-61.8,-62.35,-49.8,-57.3
85,85,8,7,-65.2,-63.2,-62.1,-61.7,-56.2,-55.8
86,86,9,7,-64.65,-63.1,-61.6,-60.6,-57.0,-53.7
87,87,10,7,-64.1,-63.0,-61.1,-59.5,-57.8,-51.6
88,88,0,8,-61.2,-49.6,-64.0,-65.6,-58.2,-64.0
89,89,1,8,-62.1,-52.1,-63.6,-65.6,-57.4,-63.5
90,90,2,8,-63.0,-54.6,-63.2,-65.6,-56.6,-63.0
91,91,3,8,-62.9,-55.7,-62.5,-64.3,-54.1,-61.4
92,92,4,8,-62.8,-56.8,-61.8,-63.0,-51.6,-59.8
93,93,5,8,-63.7,-58.7,-62.0,-63.5,-51.9,-58.7
94,94,6,8,-64.6,-60.6,-62.2,-64.0,-52.2,-57.6
95,95,7,8,-65.5,-62.0,-62.9,-63.7,-54.3,-56.0
96,96,8,8,-66.4,-63.4,-63.6,-63.4,-56.4,-54.4
97,97,9,8,-65.7,-63.2,-62.9,-62.2,-56.9,-51.7
98,98,10,8,-65.0,-63.0,-62.2,-61.0,-57.4,-49.0
99,99,0,9,-63.6,-36.6,-64.6,-66.3,-58.1,-64.0
100,100,1,9,-63.75,-44.75,-64.4,-66.2,-56.75,-63.4
101,101,2,9,-63.9,-52.9,-64.2,-66.1,-55.4,-62.8
102,102,3,9,-63.75,-54.8,-63.65,-65.2,-51.8,-61.25
103,103,4,9,-63.6,-56.7,-63.1,-64.3,-48.2,-59.7
104,104,5,9,-64.25,-58.4,-63.1,-64.3,-48.3,-58.3
105,105,6,9,-64.9,-60.1,-63.1,-64.3,-48.4,-56.9
106,106,7,9,-66.3,-62.15,-64.45,-64.9,-52.5,-55.3
107,107,8,9,-67.7,-64.2,-65.8,-65.5,-56.6,-53.7
108,108,9,9,-67.2,-64.2,-65.05,-64.35,-57.5,-45.55
109,109,10,9,-66.7,-64.2,-64.3,-63.2,-58.4,-37.4
110,110,0,10,-66.0,-23.6,-65.2,-67.0,-58.0,-64.0
111,111,1,10,-65.4,-37.4,-65.2,-66.8,-56.1,-63.3
112,112,2,10,-64.8,-51.2,-65.2,-66.6,-54.2,-62.6
113,113,3,10,-64.6,-53.9,-64.8,-66.1,-49.5,-61.1
114,114,4,10,-64.4,-56.6,-64.4,-65.6,-44.8,-59.6
115,115,5,10,-64.8,-58.1,-64.2,-65.1,-44.7,-57.9
116,116,6,10,-65.2,-59.6,-64.0,-64.6,-44.6,-56.2
117,117,7,10,-67.1,-62.3,-66.0,-66.1,-50.7,-54.6
118,118,8,10,-69.0,-65.0,-68.0,-67.6,-56.8,-53.0
119,119,9,10,-68.7,-65.2,-67.2,-66.5,-58.1,-39.4
120,120,10,10,-68.4,-65.4,-66.4,-65.4,-59.4,-25.8
