x,y,rssa11,rssa12,rssa13,rssa14,rssa15,rssa21,rssa22,rssa23,rssa24,rssa25,rssa31,rssa32,rssa33,rssa34,rssa35,rssa41,rssa42,rssa43,rssa44,rssa45,rssa51,rssa52,rssa53,rssa54,rssa55,rssa61,rssa62,rssa63,rssa64,rssa65
2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,-64,-67,-57,-62,-57,-60,-62,-56,-59,-54,-66,-68,-65,-64,-59,-69,-72,-64,-68,-63,-64,-66,-59,-63,-58,-69,-71,-63,-67,-62
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,-61,-56,-60,-70,-63,-58,-54,-57,-67,-60,-61,-57,-60,-67,-63,-64,-60,-63,-74,-67,-59,-54,-58,-68,-61,-63,-59,-63,-73,-66
3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,-63,-62,-63,-62,-63,-61,-60,-61,-65,-61,-62,-60,-62,-61,-61,-65,-63,-65,-63,-64,-59,-57,-59,-57,-58,-63,-62,-63,-62,-63
5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,-64,-65,-63,-64,-63,-62,-64,-61,-62,-61,-61,-62,-60,-61,-60,-62,-64,-61,-62,-61,57,-59,-57,-57,-57,-60,-62,-59,-60,-59
7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,-62,-66,-68,-59,-65,-61,-65,-67,-58,-64,-59,-62,-65,-55,-62,-58,-62,-64,-55,-61,-56,-60,-62,-53,-49,-55,-59,-61,-52,-59
9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,-64,-60,-62,-66,-64,-64,-60,-61,-66,-64,-61,-57,-58,-63,-61,-59,-55,-56,-61,-59,-59,-55,-57,-61,-59,-55,-51,-53,-57,-55
0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,-63,-60,-60,-59,-64,-51,-49,-47,-48,-53,-64,-62,-67,-61,-66,-67,-66,-64,-63,-68,-59,-57,-58,-56,-61,-65,-63,-64,-62,-66
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,-61,-59,-63,-67,-65,-52,-53,-54,-58,-56,-61,-59,-64,-67,-65,-63,-62,-66,-69,-68,-54,-55,-56,-60,-58,-61,-59,-63,-67,-65
3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,-63,-65,-67,-59,-60,-57,-59,-61,-53,-54,-62,-64,-66,-58,-59,-64,-62,-68,-60,-61,-54,-53,-55,-48,-48,-60,-62,-64,-56,-57
5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,-64,-61,-63,-68,-67,-60,-57,-59,-64,-63,-62,-59,-61,-63,-66,-63,-60,-64,-67,-66,-53,-48,-50,-55,-55,-57,-54,-56,-61,-60
7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,-67,-70,-66,-63,-66,-64,-67,-63,-60,-63,-65,-67,-63,-60,-63,-64,-67,-63,-60,-63,-57,-60,-56,-53,-56,-55,-58,-54,-51,-54
9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,-66,-64,-60,-66,-69,-64,-62,-58,-64,-67,-63,-62,-57,-63,-66,-62,-60,-56,-62,-65,-58,-57,-53,-58,-61,-50,-48,-44,-50,-53
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,-69,-64,-67,-65,-65,-19,-24,-25,-25,-25,-60,-65,-69,-66,-66,-62,-67,-70,-68,-68,-53,-58,-61,-59,-59,-59,-64,-67,-65,-65
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,-63,-70,-65,-61,-65,-50,-56,-51,-47,-52,-64,-70,-65,-61,-66,-65,-71,-67,-63,-67,-53,-59,-54,-50,-55,-61,-67,-63,-59,-63
3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,-72,-62,-62,-60,-66,-63,-55,-55,-52,-58,-71,-62,-63,-60,-66,-73,-63,-64,-61,-67,-52,-43,-43,-40,-46,-67,-57,-58,-55,-61
5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,-71,-62,-67,-62,-64,-65,-56,-62,-56,-59,-70,-60,-66,-61,-63,-70,-61,-67,-61,-64,-50,-41,-47,-41,-44,-62,-53,-58,-53,-55
7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,-72,-68,-69,-71,-65,-68,-64,-65,-67,-61,-70,-71,-67,-69,-63,-70,-69,-67,-69,-63,-60,-56,-56,-59,-53,-56,-52,-53,-55,-49
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,-68,-68,-69,-70,-67,-65,-65,-66,-67,-64,-66,-66,-67,-68,-65,-65,-65,-66,-67,-64,-59,-59,-60,-61,-58,-27,-25,-26,-27,-24
